Example,Scope,Local Time,Global Time,It.,#R.States,#T.States,Result
mutex2,3,-,0.2,-,-,-,UNSAT
mutex2,4,0.223,0.438,9,2^2.58,2^9.33,Found
mutex3,3,-,0.178,-,-,-,UNSAT
mutex3,4,0.207,0.876,27,2^3,2^13.50,Found
mutex4,3,-,0.177,-,-,-,UNSAT
mutex4,4,0.206,2.876,81,2^3.32,2^17.67,Found
mutex5,3,-,0.181,-,-,-,UNSAT
mutex5,4,0.212,10.894,243,2^3.58,2^21.84,Found
mutex6,3,-,0.181,-,-,-,UNSAT
mutex6,4,0.209,47.075,729,2^3.80,2^26.01,Found
mutex7,3,-,0.199,-,-,-,UNSAT
mutex7,4,0.213,215.535,2187,2^4,2^30.18,Found
