Example,Scope,Local Time,Global Time,It.,#R.States,#T.States,Result
mutex2,3,-,0.206,-,-,-,UNSAT
mutex2,4,0.22,0.435,9,2^2.58,2^9.33,SAT
mutex3,3,-,0.18,-,-,-,UNSAT
mutex3,4,0.217,0.914,27,2^3,2^13.50,SAT
mutex4,3,-,0.179,-,-,-,UNSAT
mutex4,4,0.208,2.928,81,2^3.32,2^17.67,SAT
mutex5,3,-,0.18,-,-,-,UNSAT
mutex5,4,0.211,12.037,243,2^3.58,2^21.84,SAT
mutex6,3,-,0.183,-,-,-,UNSAT
mutex6,4,0.213,50.227,729,2^3.80,2^26.01,SAT
mutex7,3,-,0.222,-,-,-,UNSAT
mutex7,4,0.237,231.669,2187,2^4,2^30.18,SAT
